ZipCode,Population,HouseholdsPerZipCode,WhitePopulation,BlackPopulation,HispanicPopulation,AsianPopulation,HawaiianPopulation,IndianPopulation,OtherPopulation,MalePopulation,FemalePopulation,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold,MedianAge,MedianAgeMale,MedianAgeFemale,NumberOfBusinesses,NumberOfEmployees,BusinessFirstQuarterPayroll,BusinessAnnualPayroll,GrowthRank,GrowingCountiesA,GrowingCountiesB,GrowthIncreaseNumber,GrowthIncreasePercentage,CBSAPopulation,CBSADivisionPopulation,DeliveryResidential,DeliveryBusiness,DeliveryTotal,PopulationEstimate,LandArea,WaterArea,BoxCount,SFDU,MFDU,MarketRatingAreaID,CityType_B,CityType_C,CityType_N,CityType_P,CityType_U,CityType_Z,CityDeliveryIndicator_N,CityDeliveryIndicator_Y,MedicareCBSAType_Metro,MedicareCBSAType_Micro,UBS_Open_Branch
44275,3521,1251,3484,13,43,7,2,32,14,1785,1736,2.81,166100,68112,40.5,40.1,40.9,49,248,2302,10257,0,0,0,0,0.0,2077240,0,1164,13,1344,3270,38.625,0.18,120,1131,33,12,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2052,12024,4117,11561,117,180,401,5,27,61,5828,6196,2.91,617000,147630,42.5,42.0,43.0,303,2409,19273,89135,0,0,0,0,0.0,4552402,1887792,4327,283,4823,12591,14.402,0.234,142,3726,121,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
51564,501,218,498,0,10,0,0,10,2,237,264,2.3,72500,43393,47.5,48.8,46.4,8,24,110,463,0,0,0,0,0.0,865350,0,160,1,231,368,39.94300000000001,0.004,60,160,0,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
40176,931,343,918,10,9,2,0,7,0,484,447,2.71,107600,51168,38.2,36.8,40.1,14,42,342,1412,0,0,0,0,0.0,0,0,460,1,962,1246,28.719,0.173,22,460,0,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4777,422,170,414,5,3,1,0,9,1,229,193,2.48,70900,30714,42.0,41.5,43.1,6,23,184,754,0,0,0,0,0.0,153923,0,81,3,176,200,90.12,0.459,89,81,0,3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
35634,9711,3862,9337,244,172,62,8,71,93,4727,4984,2.51,159600,64213,45.1,44.1,46.0,146,985,6877,28951,0,0,0,0,0.0,147137,0,4655,175,4855,11684,61.67100000000001,3.477,0,4505,99,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
81429,181,76,179,0,27,0,0,0,2,83,98,2.38,0,0,51.3,50.5,52.5,1,0,0,0,0,0,0,0,0.0,41276,0,0,0,92,0,228.941,0.17,61,0,0,9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
12886,269,122,267,3,6,0,0,1,0,134,135,2.16,109600,0,48.2,47.7,50.5,5,0,0,0,0,0,0,0,0.0,128923,0,18,2,199,38,14.478,0.053,96,18,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
55352,8751,3012,8377,73,408,165,5,123,182,4428,4323,2.9,250900,74250,35.0,35.2,34.9,249,1798,16353,83959,0,0,0,0,0.0,3279833,0,3458,200,5065,10028,66.748,1.636,63,3129,181,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
59443,612,239,589,11,9,10,1,19,6,312,300,2.56,188400,40000,45.4,40.6,48.0,6,18,177,761,0,0,0,0,0.0,81327,0,183,2,288,468,62.334,0.011,97,183,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4761,529,249,526,3,2,0,0,5,0,256,273,2.12,124500,47500,51.5,51.6,51.4,18,190,2201,9425,0,0,0,0,0.0,0,0,186,4,293,394,18.466,1.088,100,174,12,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
59052,139,64,138,0,1,0,3,1,1,76,63,2.17,233300,64875,54.3,59.0,53.6,4,7,50,325,0,0,0,0,0.0,0,0,84,0,111,182,694.625,1.471,24,84,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
18471,685,255,672,4,16,7,0,0,6,323,362,2.69,294000,80500,46.4,46.4,46.3,25,278,2166,9102,0,0,0,0,0.0,563631,0,0,0,411,0,2.763,0.003,345,0,0,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
32410,740,393,703,21,14,12,2,24,6,361,379,1.88,194400,56094,54.4,53.1,56.2,13,85,450,2155,0,0,0,0,0.0,168852,0,0,1,650,0,20.056,3.503,0,0,0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
67514,765,311,749,6,9,1,8,9,0,389,376,2.46,58500,40227,41.5,38.4,45.0,14,51,213,898,0,0,0,0,0.0,64511,0,167,2,271,410,86.859,0.084,86,167,0,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
37387,3323,1357,3285,6,16,4,0,58,4,1672,1651,2.45,76800,25080,42.3,40.4,44.4,51,273,1542,6670,0,0,0,0,0.0,0,0,1219,56,2011,2986,36.69300000000001,0.05,613,1219,0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30554,8535,3096,7991,308,359,79,6,83,199,4269,4266,2.76,130100,51281,36.6,36.0,37.5,69,376,2553,11953,0,0,0,0,0.0,179684,0,2871,48,3631,7923,72.94800000000002,1.083,458,2805,0,10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
53214,34725,15688,30149,2267,4333,830,23,786,2051,17244,17481,2.2,130500,43202,35.7,34.9,36.6,962,23206,262312,1152595,0,0,0,0,0.0,1555908,0,16402,1241,18162,36084,7.272,0.006,311,12886,3172,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
38945,35,11,26,9,0,0,0,0,0,20,15,3.18,0,0,33.5,25.0,37.5,0,0,0,0,0,0,0,0,0.0,42914,0,0,0,0,0,17.601,0.2,0,0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
49036,24868,8922,22869,1394,1022,308,22,199,492,13552,11316,2.44,101700,46277,41.1,40.1,42.7,571,9693,85605,362003,0,0,0,0,0.0,45248,0,10590,738,11744,25839,157.433,7.845,307,9056,972,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3303,15524,6202,15001,213,248,316,6,162,93,7597,7927,2.41,189800,60422,39.4,37.3,41.3,172,1609,14767,68807,0,0,0,0,0.0,146445,0,6544,204,6990,15771,67.46600000000001,1.737,174,4150,1548,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
87010,1139,624,1061,24,186,21,4,37,39,585,554,1.83,250000,47132,53.0,53.0,53.0,25,116,484,2636,0,0,0,0,0.0,144170,0,302,13,744,552,163.403,0.004,386,106,0,4,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
97305,40176,13780,28271,802,14928,1967,730,1220,9156,19915,20261,2.9,164800,45396,31.4,30.3,32.7,663,9021,63215,282705,0,0,0,0,0.0,390738,0,14545,529,23732,42180,47.687,0.0,168,3946,604,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
32822,53029,21111,37775,7091,30098,1589,165,580,8217,25709,27320,2.51,96600,34340,33.7,32.2,35.4,1035,23784,235108,999991,0,0,0,0,0.0,2134411,0,24718,1241,26330,62042,13.294,0.677,0,5944,13264,48,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
27511,32029,13082,25007,3412,4973,1538,53,511,2510,15621,16408,2.44,218800,70491,38.8,36.6,40.8,1507,25105,281528,1141286,49,900993,929780,28787,3.2,1130490,0,14063,1401,17467,34313,11.718,0.217,0,9023,2739,13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
17307,5899,2258,5504,96,734,24,2,33,306,2961,2938,2.6,193600,60625,40.9,40.2,41.5,104,1135,9927,40646,0,0,0,0,0.0,101407,0,1850,45,2394,4810,59.599,0.097,432,1850,0,7,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
52217,590,247,569,6,19,1,5,2,15,296,294,2.39,103600,62554,43.6,40.0,46.0,6,54,371,992,0,0,0,0,0.0,0,0,251,12,282,599,58.82899999999999,0.0,8,179,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
98533,609,259,589,1,21,7,0,22,6,294,315,2.35,180800,51838,50.3,51.2,49.9,9,22,150,536,0,0,0,0,0.0,75455,0,184,5,1370,432,120.118,0.221,81,184,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
39464,2482,931,2430,33,37,7,0,34,10,1253,1229,2.67,118000,45708,39.7,39.4,40.0,15,95,570,2171,0,0,0,0,0.0,84823,0,921,9,1012,2459,92.727,0.212,77,921,0,4,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3254,4049,1744,3988,15,42,34,1,23,13,2009,2040,2.32,331600,70262,50.5,50.5,50.6,166,1010,8603,48941,0,0,0,0,0.0,0,0,1933,89,3092,4484,59.505,15.138,725,1428,201,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
85351,27789,17398,26969,436,732,217,17,144,164,11541,16248,1.58,113400,35453,73.5,73.6,73.4,415,6300,70728,281230,0,0,0,0,0.0,4192887,0,20566,559,21471,32494,10.83,0.154,0,19480,791,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
22567,3163,1115,2821,343,76,7,3,41,22,1578,1585,2.84,220600,47500,40.4,39.7,40.7,35,157,1254,5525,0,0,0,0,0.0,0,0,1142,24,1312,3243,47.295,0.077,128,1142,0,12,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
52065,1130,434,1117,2,16,7,0,1,5,590,540,2.6,122000,56681,42.5,40.2,44.0,24,126,1332,5789,0,0,0,0,0.0,93653,0,241,4,396,626,50.719,0.008,103,236,0,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
37167,49322,17977,39528,5462,4715,2191,77,548,2873,24122,25200,2.72,160300,59138,33.9,32.9,34.8,959,29604,325328,1390292,0,0,0,0,0.0,1589934,0,21968,1307,24155,59752,57.542,1.52,666,15547,3297,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
92392,54858,15571,31382,8868,25768,3151,483,1230,13292,26839,28019,3.52,166500,56385,29.4,28.4,30.5,817,13075,104841,440394,0,0,0,0,0.0,4224851,0,17087,791,17369,60146,37.325,0.0,0,8777,462,16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
76426,11302,3749,9513,315,3262,88,4,159,1480,5869,5433,2.81,132100,46391,35.8,34.9,37.0,297,4974,64126,255874,0,0,0,0,0.0,6371773,2195694,4070,399,5275,11436,131.558,15.017,528,3651,263,8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3446,6285,2491,6137,44,84,109,3,51,30,3064,3221,2.52,175700,56985,42.6,42.2,43.0,106,1540,12836,59493,0,0,0,0,0.0,77117,0,2460,103,2821,6199,42.754,0.228,185,1843,145,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
98550,11382,4545,10316,139,943,209,45,690,476,5632,5750,2.48,123500,43244,40.0,38.5,41.7,228,2066,19020,77911,0,0,0,0,0.0,72797,0,4515,243,5445,11197,214.105,43.287,329,3978,356,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
74902,4095,1624,3629,139,106,33,1,452,38,1995,2100,2.48,90100,39004,41.0,39.6,42.7,59,520,4003,16538,0,0,0,0,0.0,298592,0,1674,94,2223,4151,30.372,0.289,333,1619,37,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
84067,37444,12361,33747,708,5028,1130,198,487,2570,18631,18813,3.02,157900,64569,30.0,29.4,30.7,427,4940,31233,135919,0,0,0,0,0.0,547184,0,12968,402,16217,39163,8.224,0.002,434,10672,717,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
47142,1174,466,1150,3,22,5,1,9,18,592,582,2.52,87700,46452,38.5,39.0,38.0,8,102,706,3037,0,0,0,0,0.0,1283566,0,350,8,382,882,36.997,0.804,19,350,0,16,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
58474,2681,1127,2628,19,74,24,0,14,24,1335,1346,2.3,117300,60150,44.3,42.0,46.4,119,881,7154,30955,0,0,0,0,0.0,0,0,1122,113,1330,2580,379.192,2.7430000000000003,54,986,126,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
26611,224,94,224,0,1,0,0,1,0,110,114,2.38,153800,31767,41.7,41.3,42.5,2,0,0,0,0,0,0,0,0.0,0,0,118,2,120,280,11.26,0.103,0,114,0,8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
78066,591,232,565,6,136,4,2,11,18,300,291,2.55,160300,62061,46.4,43.7,47.5,9,53,217,1026,0,0,0,0,0.0,2142508,0,244,1,472,622,25.545,0.13,68,197,0,19,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
27810,4377,1901,3024,1235,198,16,1,57,98,2119,2258,2.3,109300,40966,47.3,45.6,48.6,104,781,5603,22232,0,0,0,0,0.0,47759,0,1825,105,2242,4197,130.086,52.95,185,1638,0,16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4417,370,169,362,0,8,1,0,1,7,187,183,2.19,65900,41500,49.8,49.3,49.9,4,5,17,77,0,0,0,0,0.0,153923,0,105,0,319,229,62.445,2.818,93,105,0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
23192,7067,2543,6039,1007,91,39,0,70,21,3531,3536,2.78,269500,88559,43.5,42.3,44.6,143,773,6014,27008,0,0,0,0,0.0,1258251,0,2577,67,2899,7164,76.202,0.985,179,2577,0,7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
34251,6351,1972,6050,80,1102,61,8,37,189,3260,3091,2.91,264100,76691,38.8,38.8,38.8,149,492,3646,16546,0,0,0,0,0.0,702281,0,2245,31,2561,6532,293.608,2.289,208,2245,0,40,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
24381,3816,1638,3724,46,81,4,1,24,49,1911,1905,2.31,117200,51845,44.4,42.7,45.9,44,434,3672,15380,0,0,0,0,0.0,0,0,1713,53,1950,3957,51.732,0.396,150,1706,0,12,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
26847,6277,2658,6138,90,96,15,3,23,70,3066,3211,2.32,132700,36831,44.8,43.4,46.1,179,2081,14399,61872,0,0,0,0,0.0,0,0,2596,197,3321,6022,122.026,0.077,423,2130,22,7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
33035,13497,4609,9722,3106,7084,366,55,79,707,6334,7163,2.9,122900,59949,30.8,30.4,31.1,75,1937,37596,143791,0,0,0,0,0.0,5564635,2496435,5625,30,6380,16312,20.769,0.331,0,1724,1891,43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
51036,726,242,682,6,64,11,0,2,29,374,352,3.0,126600,70078,34.4,34.4,34.3,14,62,462,2281,0,0,0,0,0.0,0,0,172,4,261,516,44.099,0.006,76,172,0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
23138,953,399,857,88,13,4,0,10,5,489,464,2.38,207600,0,50.3,50.1,50.5,15,56,254,1518,0,0,0,0,0.0,1671683,0,352,7,554,837,8.383,13.619000000000002,173,326,0,9,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
63755,24006,9340,23430,448,274,174,13,158,99,11648,12358,2.55,160200,55726,38.5,37.2,39.5,607,6901,51122,218120,0,0,0,0,0.0,96275,0,10798,602,11915,27534,170.884,2.019,306,9996,169,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
99033,895,360,838,1,56,10,1,36,25,424,471,2.34,114300,48650,45.2,45.9,44.3,22,121,1039,4588,0,0,0,0,0.0,44776,0,133,3,443,311,37.617,0.0,269,117,16,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
79852,799,398,668,7,244,5,2,27,111,423,376,2.01,76900,24598,47.2,48.6,45.8,29,204,1092,4434,0,0,0,0,0.0,0,0,92,7,502,184,531.928,0.693,365,92,0,26,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
735,13730,5245,10257,2748,13560,29,14,177,1204,6493,7237,2.62,95800,20204,37.6,35.9,39.1,0,0,0,0,0,0,0,0,0.0,2478905,0,3889,106,5062,10189,23.306,0.711,976,1596,983,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
72521,4814,1891,4679,78,94,17,0,57,39,2381,2433,2.51,72500,31355,39.9,38.3,40.9,55,516,2510,10900,0,0,0,0,0.0,0,0,1840,45,2302,4618,125.58,0.113,353,1762,41,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
22646,205,86,152,47,7,1,0,2,4,98,107,2.38,474000,0,47.2,44.5,48.2,14,181,3347,14019,0,0,0,0,0.0,5582170,4431070,0,0,367,0,1.965,0.002,198,0,0,10,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
77483,311,121,280,14,35,2,0,2,16,167,144,2.57,0,0,39.8,41.9,38.7,10,0,0,0,0,0,0,0,0.0,36702,0,0,0,230,0,36.166,6.657,200,0,0,26,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
96716,2823,908,1033,15,260,1925,859,84,33,1462,1361,3.05,396900,76117,39.3,37.3,40.9,49,400,2904,12517,0,0,0,0,0.0,67091,0,0,0,889,0,107.464,1.54,813,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
89052,47214,19491,37760,2545,5264,6426,531,493,1877,22845,24369,2.42,337700,76763,42.6,42.2,42.9,1517,14929,155332,662494,0,0,0,0,0.0,1951269,0,24748,1034,24993,59890,51.92,0.0,0,1958,5998,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
97215,16375,7240,14706,418,762,1234,91,304,315,7952,8423,2.23,408200,72570,38.9,38.2,39.7,472,3593,26769,118267,0,0,0,0,0.0,2226009,0,7695,335,8606,17159,2.272,0.03,0,6692,704,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
78391,325,109,262,0,218,0,0,6,66,161,164,2.98,53900,46042,37.7,37.8,37.5,6,22,181,764,0,0,0,0,0.0,31861,0,20,0,176,59,17.364,0.003,82,20,0,26,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
55758,145,62,143,1,0,1,0,2,0,74,71,2.34,61900,43750,40.5,43.0,37.8,2,0,0,0,0,0,0,0,0.0,279771,0,64,5,135,149,2.134,0.29600000000000004,67,6,1,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
58782,436,189,436,0,1,0,0,2,0,216,220,2.31,95000,56607,43.8,45.5,42.3,11,29,186,987,0,0,0,0,0.0,69540,0,87,2,277,200,189.748,0.271,170,87,0,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
88330,3054,822,2420,438,468,166,51,62,126,1730,1324,3.05,0,41604,21.8,21.6,22.2,41,324,3620,13921,65,63797,65703,1906,3.0,63797,0,1063,9,1855,3242,1.379,0.0,753,12,0,5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
59433,594,267,584,1,16,3,0,24,4,294,300,2.22,99600,49063,48.7,49.2,48.0,16,77,454,2089,0,0,0,0,0.0,0,0,195,11,280,432,361.698,0.11,53,180,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
59010,102,49,102,0,0,0,0,1,0,53,49,2.08,141700,52679,51.5,53.5,45.8,1,0,0,0,0,0,0,0,0.0,0,0,44,3,63,91,331.0490000000001,0.7879999999999999,16,44,0,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
95672,4773,1710,4437,60,369,207,29,95,110,2413,2360,2.79,414400,96316,45.3,44.3,46.2,65,217,1815,8269,0,0,0,0,0.0,2149127,0,1633,12,1959,4556,22.57,0.193,249,509,0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
48532,19375,8215,12351,6554,519,610,14,295,231,9004,10371,2.32,81600,41010,40.9,39.1,42.6,582,9508,93831,401594,0,0,0,0,0.0,425790,0,8484,751,9661,19682,15.305,0.09,395,5740,2137,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
37148,22320,8088,21303,703,725,136,21,128,336,10983,11337,2.75,135500,50305,35.3,34.2,36.4,303,9099,83714,352860,0,0,0,0,0.0,1589934,0,9263,433,10432,25473,136.667,0.182,488,9041,125,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
97752,44,24,40,0,4,0,0,1,4,29,15,1.83,0,0,51.8,51.8,51.8,2,0,0,0,0,0,0,0,0.0,20978,0,23,0,33,42,152.343,0.174,10,23,0,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
59640,89,44,88,0,3,1,0,1,0,48,41,2.02,216700,54167,49.1,46.0,49.9,3,36,199,558,0,0,0,0,0.0,74801,0,51,0,106,103,3.45,0.0,0,1,0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
79560,137,66,135,1,14,0,0,0,2,70,67,2.08,62100,46042,54.9,54.5,55.3,1,0,0,0,0,0,0,0,0.0,0,0,30,1,508,62,75.455,0.237,33,30,0,26,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30045,34402,10486,16228,14304,5002,2458,68,323,2140,16518,17884,3.28,166900,75470,33.1,31.2,34.4,848,13629,142679,623135,99,805321,824941,19620,2.4,5268860,0,12381,237,14419,40609,21.737,0.339,0,11815,31,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
60804,84573,22758,46534,3529,73200,729,119,1026,35695,43116,41457,3.71,129000,42345,27.9,27.7,28.0,948,13399,120551,551242,0,0,0,0,0.0,9461105,7262718,18263,1143,20097,67755,7.664,0.14400000000000002,384,14959,3300,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
